TX-Dallas,CO-Denver,MA-Boston,Composite-20,CA-San Francisco,FL-Tampa,DC-Washington,Composite-10,CA-Los Angeles,Date,AZ-Phoenix,CA-San Diego,MI-Detroit,National-US,MN-Minneapolis,GA-Atlanta,WA-Seattle,NV-Las Vegas,IL-Chicago,OR-Portland,FL-Miami,NY-New York,NC-Charlotte,OH-Cleveland
103.28,103.54,104.35,104.0,110.63,102.31,103.95,104.53,104.16,4/1/2000,102.27,105.71,101.76,102.92,102.98,102.7,103.48,101.6,103.41,102.18,102.01,103.13,102.27,101.74
103.72,105.3,106.01,105.25,113.8,103.39,104.92,106.01,104.92,5/1/2000,102.99,107.13,102.58,103.68,104.41,103.27,104.22,102.05,104.39,102.08,102.75,104.92,102.24,102.16
103.62,106.91,107.93,106.4,116.82,104.23,105.72,107.34,105.69,6/1/2000,103.7,108.97,103.27,104.43,105.61,104.14,104.43,102.28,105.51,102.19,103.41,106.06,102.69,102.04
104.05,108.3,108.92,107.13,117.87,105.03,106.71,108.17,106.33,7/1/2000,104.08,110.32,103.99,105.05,106.39,104.32,104.94,102.67,106.03,102.4,103.7,107.02,102.25,101.93
104.36,109.3,110.13,107.86,119.05,105.41,107.79,109.07,106.97,8/1/2000,104.5,111.67,104.23,105.77,107.36,104.7,105.22,103.22,106.42,102.65,104.36,108.02,102.52,102.19
105.08,110.55,111.37,108.61,120.41,105.91,108.99,110.03,107.89,9/1/2000,104.97,112.66,104.65,106.54,108.47,104.78,105.62,103.89,106.71,102.81,105.11,108.83,102.52,102.52
105.51,111.73,112.97,109.49,123.25,106.51,109.87,111.17,108.81,10/1/2000,105.33,113.47,105.06,107.38,109.63,105.42,105.82,104.68,106.98,103.03,106.1,109.79,102.86,103.2
106.28,113.1,114.77,110.57,126.44,108.19,111.09,112.5,109.98,11/1/2000,105.8,115.25,106.09,108.3,111.16,106.04,106.4,105.04,107.47,103.34,107.4,110.64,103.17,103.56
106.57,114.54,116.95,111.8,130.06,109.81,112.4,113.93,110.72,12/1/2000,106.01,116.96,106.68,109.13,111.73,106.58,107.29,105.52,108.15,104.11,108.66,111.84,103.0,104.22
107.24,115.51,118.84,113.05,133.04,110.9,113.79,115.43,112.03,1/1/2001,106.4,118.9,107.33,109.85,113.35,107.07,107.77,105.77,108.92,104.6,110.24,112.94,103.54,104.54
108.38,116.88,120.41,114.13,135.08,111.71,115.39,116.69,112.9,2/1/2001,106.88,120.14,107.51,110.51,114.5,107.43,107.91,106.17,109.52,104.85,111.07,114.25,103.87,104.85
109.08,117.24,121.56,115.09,134.94,112.41,116.84,117.73,114.18,3/1/2001,107.46,122.32,108.04,111.11,116.39,107.82,108.15,106.99,110.36,105.1,112.27,115.31,104.0,104.97
109.9,118.52,122.74,115.84,133.86,113.45,118.63,118.5,114.64,4/1/2001,108.08,123.36,108.39,111.65,117.28,108.36,109.03,107.95,111.29,105.42,113.53,116.36,103.87,104.78
110.06,119.25,123.18,116.3,132.66,113.76,119.26,118.95,115.26,5/1/2001,108.71,124.28,108.85,112.16,118.29,108.65,109.24,108.74,112.09,105.96,114.77,116.98,104.22,105.25
110.48,119.97,124.44,116.9,130.83,115.2,120.25,119.5,115.74,6/1/2001,109.02,124.52,109.14,112.8,119.68,109.31,109.74,109.51,113.22,106.59,115.91,118.08,104.32,105.68
110.42,120.39,125.6,117.5,129.28,116.16,121.08,120.1,116.38,7/1/2001,109.51,125.29,109.66,113.49,121.26,109.67,109.99,110.3,114.21,107.34,117.13,119.22,104.84,106.47
110.63,120.96,126.94,118.24,128.33,117.85,122.09,120.95,117.36,8/1/2001,109.86,125.87,110.41,114.17,122.12,110.19,110.55,110.97,115.25,108.02,118.29,120.59,104.63,106.98
110.52,121.51,128.15,119.03,128.18,118.13,123.1,121.95,118.34,9/1/2001,110.28,126.98,110.85,114.81,123.2,110.67,111.21,111.7,116.1,108.34,119.52,121.98,104.73,107.27
111.2,121.7,129.13,119.69,128.21,118.88,124.13,122.81,119.31,10/1/2001,110.75,128.15,111.1,115.31,124.09,111.05,111.6,112.08,116.52,108.53,121.09,123.09,104.53,107.0
111.45,121.64,130.18,120.27,127.68,119.54,125.04,123.62,120.3,11/1/2001,111.1,129.35,110.93,115.86,125.28,111.18,112.04,112.97,116.8,108.44,122.7,124.4,104.5,106.77
111.99,121.62,130.51,120.67,126.84,119.89,126.18,124.02,121.29,12/1/2001,111.65,129.99,111.25,116.45,125.97,111.3,112.07,113.52,117.09,108.41,123.77,124.57,104.61,106.38
112.54,122.1,131.35,121.36,126.84,120.4,127.24,124.83,122.71,1/1/2002,112.16,130.32,111.47,117.15,126.42,111.67,112.84,114.45,117.51,108.92,124.5,125.38,104.78,106.88
112.75,122.39,131.77,122.19,127.61,120.7,128.82,125.76,123.99,2/1/2002,112.79,131.73,112.16,117.85,126.98,112.28,113.26,115.0,118.12,109.53,125.43,126.1,105.26,107.42
113.24,123.1,132.97,123.33,129.56,122.96,130.15,127.04,125.46,3/1/2002,113.21,133.19,112.34,118.69,128.13,112.7,113.57,115.41,118.72,111.14,126.65,127.32,105.61,107.97
113.37,123.33,134.53,124.5,132.11,123.71,131.63,128.54,126.85,4/1/2002,113.68,135.65,112.32,119.62,129.01,112.78,113.53,115.4,119.63,111.06,128.09,128.69,106.16,108.36
113.47,124.01,136.68,125.93,134.75,124.95,133.29,130.34,128.69,5/1/2002,114.2,138.13,112.81,120.73,130.22,112.94,113.73,115.87,120.34,111.53,129.79,130.49,106.14,108.59
113.19,124.26,138.77,127.39,137.57,125.6,134.84,132.22,130.78,6/1/2002,114.68,140.54,113.38,121.81,131.2,113.25,114.05,116.34,121.05,111.3,131.57,132.5,106.21,109.15
113.18,124.68,140.54,128.88,139.37,126.85,137.0,134.1,132.86,7/1/2002,114.99,142.87,114.03,122.89,132.29,113.67,114.46,116.83,121.86,112.27,133.48,134.85,106.15,109.45
113.56,124.61,142.31,130.3,141.11,127.75,138.95,135.95,135.09,8/1/2002,115.29,145.71,114.55,123.83,133.28,114.02,114.76,117.27,122.64,112.02,134.91,137.0,106.73,109.48
113.74,124.67,144.2,131.53,141.85,128.57,140.8,137.6,137.24,9/1/2002,115.54,148.04,114.8,124.78,133.91,114.17,115.05,117.8,123.48,112.21,136.58,138.83,107.05,109.41
113.86,125.0,145.85,132.85,142.82,129.2,142.45,139.37,139.72,10/1/2002,115.81,150.59,114.88,125.73,135.26,114.6,115.43,119.16,124.35,112.33,138.27,140.8,107.31,109.58
113.85,125.55,147.41,134.1,143.63,130.26,143.86,141.01,141.82,11/1/2002,116.24,153.04,115.53,126.67,136.13,114.93,115.91,120.6,125.32,113.0,139.84,142.84,107.34,109.76
114.19,125.71,147.86,135.4,143.82,131.83,145.59,142.57,143.98,12/1/2002,116.71,155.2,115.61,127.62,137.91,115.26,116.63,122.01,126.37,113.8,141.71,144.91,107.71,110.25
114.71,125.62,148.52,136.47,143.74,133.27,146.68,143.86,145.75,1/1/2003,117.71,157.29,115.7,128.46,138.86,115.65,116.85,122.91,127.22,114.61,143.78,146.64,108.38,110.9
114.82,125.6,149.7,137.46,143.85,134.66,147.94,145.05,147.31,2/1/2003,118.61,158.5,115.35,129.36,140.04,115.96,117.48,123.75,128.21,115.4,145.87,147.94,108.75,111.7
113.96,126.11,150.97,138.39,143.96,135.52,148.72,146.14,148.88,3/1/2003,119.56,159.7,116.17,130.15,140.57,116.68,118.0,124.33,129.49,116.0,147.39,149.22,108.43,112.04
113.58,125.92,151.64,139.24,144.3,136.63,149.94,147.14,150.49,4/1/2003,119.9,161.1,117.12,130.89,141.56,116.61,118.47,125.29,129.78,116.39,148.7,150.34,107.99,112.59
113.63,125.78,151.88,140.15,144.37,138.12,151.37,148.19,152.29,5/1/2003,120.29,162.58,118.1,131.74,142.25,116.85,118.89,125.97,130.53,116.93,149.77,151.49,107.71,112.97
114.15,125.08,152.38,140.92,144.84,138.67,152.99,149.13,154.07,6/1/2003,120.67,164.2,117.84,132.65,142.59,116.82,119.36,126.94,131.02,117.67,150.72,152.25,108.04,113.36
114.35,125.17,152.89,142.12,146.17,139.35,154.71,150.64,157.02,7/1/2003,121.28,166.36,117.79,133.78,143.79,117.04,119.97,128.36,131.7,118.31,152.78,153.29,108.15,113.79
114.36,125.6,153.57,143.53,147.79,139.69,156.79,152.43,160.1,8/1/2003,122.1,169.43,117.83,134.97,144.77,117.32,121.02,130.44,132.2,118.88,155.05,154.49,108.67,114.41
114.39,125.83,154.61,145.26,149.64,141.86,159.25,154.65,163.58,9/1/2003,123.04,173.16,118.13,136.29,145.9,117.72,121.7,132.7,133.29,119.45,157.06,156.36,108.6,115.09
114.5,126.3,155.9,146.99,151.55,143.28,161.69,156.81,167.04,10/1/2003,123.9,177.15,118.8,137.53,146.96,118.03,122.83,135.7,134.45,120.34,159.09,157.98,109.96,115.73
114.63,126.79,157.68,148.82,153.73,144.88,164.16,159.17,170.75,11/1/2003,124.97,181.1,119.11,138.8,148.03,118.44,123.52,138.79,135.65,121.4,160.76,160.01,110.61,116.15
114.42,127.26,159.3,150.76,155.99,145.24,166.52,161.64,174.78,12/1/2003,126.25,185.04,119.44,140.18,148.74,118.69,124.83,143.08,137.04,122.38,162.61,161.89,111.2,116.4
114.93,128.08,160.57,152.63,157.85,148.01,169.53,164.01,178.78,1/1/2004,127.29,188.63,119.77,141.65,149.99,119.3,125.58,147.24,138.03,123.14,164.83,163.64,110.49,116.47
115.37,128.65,161.99,154.54,159.95,149.52,171.79,166.42,182.92,2/1/2004,128.4,192.67,120.01,143.21,151.25,119.57,126.58,151.63,138.76,123.92,167.05,165.45,110.71,116.85
114.5,129.25,163.25,156.96,162.22,152.68,174.68,169.5,188.79,3/1/2004,129.64,199.06,120.96,145.06,152.78,120.15,127.52,159.84,139.61,124.2,170.32,167.48,111.28,117.09
114.71,129.29,165.54,159.34,164.54,153.24,177.86,172.47,194.5,4/1/2004,130.93,204.93,121.39,146.6,154.52,120.87,128.6,167.51,140.17,125.68,173.1,169.16,112.09,118.01
115.15,129.31,166.18,161.75,166.8,155.37,182.0,175.54,199.74,5/1/2004,132.47,211.09,122.16,148.19,154.92,120.94,129.88,175.43,141.47,126.62,176.56,171.15,112.52,117.88
115.5,129.85,167.52,164.31,169.84,157.83,186.72,178.84,205.29,6/1/2004,133.93,216.73,121.81,149.85,156.22,120.89,131.09,185.0,142.31,127.51,179.84,173.35,112.62,117.92
115.78,129.97,168.14,166.39,172.06,159.93,189.88,181.53,209.3,7/1/2004,135.8,221.88,121.6,151.34,156.54,121.29,132.26,193.6,143.23,128.45,183.32,175.65,112.74,117.91
115.91,130.35,169.29,168.03,174.54,162.54,193.04,183.5,211.15,8/1/2004,137.56,225.13,121.6,152.64,157.31,121.72,133.12,199.4,143.85,129.63,186.69,177.28,112.52,118.07
115.94,130.51,170.16,169.65,177.02,165.06,196.11,185.52,212.71,9/1/2004,140.57,228.0,121.8,154.18,157.33,122.24,134.24,203.02,145.18,131.16,190.38,179.12,112.59,118.53
116.22,131.27,172.03,171.29,180.05,167.94,199.54,187.44,213.84,10/1/2004,143.8,230.27,122.11,155.75,158.17,122.73,135.24,205.26,146.17,132.72,193.55,181.12,113.05,118.63
116.46,131.87,173.05,173.08,183.28,170.59,203.15,189.49,215.98,11/1/2004,147.69,231.73,122.43,157.53,158.85,123.23,137.28,206.85,147.25,134.09,197.07,182.92,113.82,119.31
117.03,132.75,174.32,175.08,187.12,173.6,206.97,191.76,218.12,12/1/2004,152.15,234.28,122.69,159.33,159.66,123.95,139.11,208.17,148.59,135.21,200.88,184.59,114.76,119.79
117.56,133.4,175.74,177.55,191.63,177.26,210.8,194.63,221.52,1/1/2005,156.33,236.72,123.26,161.29,161.39,124.64,141.63,209.15,150.04,136.77,205.34,187.17,115.13,121.15
118.27,134.38,177.94,180.26,196.02,180.85,215.18,197.78,225.21,2/1/2005,161.66,239.04,123.95,163.37,162.67,125.44,143.04,211.7,151.83,138.28,210.05,189.79,115.65,121.9
118.94,134.66,179.47,183.28,200.48,185.3,221.05,201.33,229.76,3/1/2005,167.81,239.93,124.78,165.81,163.75,126.19,145.33,213.67,154.0,140.22,215.96,193.19,115.45,121.63
119.03,135.09,180.51,185.49,202.31,188.47,225.78,203.81,233.45,4/1/2005,174.64,241.3,125.56,167.51,165.18,127.01,146.78,216.19,154.6,142.1,222.34,195.21,115.48,121.88
119.28,135.13,180.72,187.55,204.83,192.03,229.74,206.08,237.12,5/1/2005,181.13,242.34,126.5,169.35,165.14,127.29,148.77,217.99,155.27,144.48,227.56,196.74,116.02,121.9
119.0,134.94,180.09,189.53,207.21,196.81,233.78,208.22,240.6,6/1/2005,188.95,243.66,125.87,171.19,165.4,127.82,150.79,219.45,156.06,147.57,233.96,198.2,116.99,121.61
119.38,134.97,180.01,191.38,209.22,201.09,236.73,210.28,244.26,7/1/2005,196.16,244.52,125.27,172.86,165.2,127.76,152.82,220.46,156.61,150.42,239.23,199.81,117.7,121.44
119.56,135.23,179.7,193.31,210.73,206.25,238.99,212.26,248.27,8/1/2005,203.0,245.51,124.67,174.45,165.32,127.92,155.11,222.02,156.56,153.41,244.93,201.49,118.51,121.42
120.34,135.9,180.15,195.62,212.69,211.65,241.38,214.97,252.83,9/1/2005,209.56,245.96,124.65,176.44,165.63,127.94,157.53,223.77,157.97,156.46,250.68,204.07,118.58,121.65
120.92,136.6,179.98,197.87,214.13,217.88,243.76,217.45,257.7,10/1/2005,213.6,247.71,125.12,178.02,166.9,128.85,159.83,225.57,159.15,159.07,255.87,206.67,119.92,121.98
122.1,137.21,180.81,200.13,215.51,222.58,246.21,219.93,261.58,11/1/2005,217.4,249.49,125.67,179.68,168.26,129.74,162.48,227.9,161.32,161.77,259.92,209.31,120.36,122.48
122.83,137.91,180.43,202.16,216.42,226.12,248.43,222.16,265.4,12/1/2005,220.17,249.83,126.33,180.91,169.3,130.7,164.82,229.86,162.68,164.22,263.95,212.04,121.56,122.87
123.44,138.8,180.6,203.77,217.42,229.56,250.28,223.93,268.33,1/1/2006,223.02,250.58,126.86,182.33,170.1,131.71,167.42,232.26,164.44,167.1,267.97,213.5,121.02,123.39
123.49,139.32,179.55,205.37,218.83,232.3,252.02,225.64,271.24,2/1/2006,225.27,251.41,127.29,183.33,171.46,132.34,169.48,234.44,165.92,169.68,272.04,215.05,122.14,123.32
123.48,139.35,180.06,206.35,219.32,236.05,252.9,226.56,272.1,3/1/2006,226.53,251.72,127.89,184.37,172.25,132.66,171.8,235.24,168.03,172.62,275.09,215.72,122.81,122.98
123.22,138.82,179.39,206.61,218.82,237.99,252.32,226.87,273.11,4/1/2006,227.79,251.34,126.05,184.34,173.88,132.96,173.1,235.75,167.62,174.06,278.15,216.53,124.15,122.34
123.09,138.73,178.33,206.49,218.06,239.04,251.2,226.64,272.96,5/1/2006,228.06,249.67,125.36,184.17,172.79,133.03,174.69,235.4,167.72,175.36,279.7,216.62,124.58,121.86
123.24,138.45,176.5,205.81,216.57,237.99,249.33,225.69,272.23,6/1/2006,227.53,247.92,123.76,183.52,171.42,133.1,176.54,233.7,167.12,176.72,279.21,216.2,125.29,121.94
123.56,138.34,175.6,204.93,214.86,236.94,246.96,224.56,271.49,7/1/2006,226.09,246.02,122.62,183.08,169.25,133.14,178.26,233.06,166.55,177.74,278.47,215.05,126.33,121.85
123.72,137.8,174.92,204.02,214.33,235.11,244.41,223.19,270.54,8/1/2006,224.49,244.13,121.58,182.61,168.41,133.07,179.77,232.4,166.02,178.88,276.02,213.08,127.04,121.22
123.65,137.61,173.85,203.57,213.55,234.04,241.73,222.83,270.43,9/1/2006,222.91,243.38,120.62,182.8,167.46,133.03,181.03,231.86,166.46,179.5,276.29,213.01,127.79,120.49
123.68,137.35,173.69,203.52,213.36,232.37,241.77,222.76,270.94,10/1/2006,221.67,242.08,120.34,183.2,167.44,133.7,182.09,231.29,166.47,179.86,277.5,213.0,128.06,120.15
123.82,137.3,171.9,203.62,213.24,231.32,241.52,222.85,271.78,11/1/2006,221.02,241.36,119.83,183.61,167.37,134.07,183.4,231.42,166.49,180.35,278.76,213.14,129.11,119.94
124.5,137.63,171.28,203.45,213.17,230.31,241.42,222.53,270.28,12/1/2006,220.68,239.27,118.63,184.15,167.62,134.64,184.73,231.7,167.01,180.43,279.71,213.24,129.81,119.76
124.5,137.58,170.55,203.73,214.64,229.82,241.43,222.82,271.0,1/1/2007,221.46,240.15,118.14,184.54,168.69,134.98,186.39,231.92,168.25,181.9,278.94,212.9,130.77,120.13
125.25,137.5,171.27,204.07,214.91,230.46,241.81,222.97,270.11,2/1/2007,220.92,238.94,117.86,184.69,169.61,135.61,188.03,231.85,169.48,183.09,279.79,213.3,131.32,120.34
125.46,137.0,171.87,204.29,215.36,229.67,241.57,223.03,268.8,3/1/2007,220.21,236.73,118.62,184.19,170.01,135.89,189.55,231.25,171.3,185.15,278.61,214.26,132.11,120.45
125.66,136.56,171.74,202.83,213.53,226.74,238.62,221.36,266.49,4/1/2007,218.17,234.66,116.7,183.03,170.03,136.14,189.99,228.69,168.8,185.44,276.16,213.74,132.9,119.24
125.24,136.78,170.94,201.0,210.82,223.13,235.86,219.28,264.26,5/1/2007,215.57,232.37,114.07,181.64,167.43,135.42,190.53,226.03,167.4,185.38,270.96,211.88,133.21,118.46
124.94,136.82,169.71,198.84,207.99,219.48,232.45,216.8,261.33,6/1/2007,212.64,229.91,111.47,180.27,164.78,134.9,190.38,222.18,165.91,184.63,266.1,209.71,133.64,117.14
124.15,136.96,169.22,196.84,205.45,215.49,229.18,214.44,258.48,7/1/2007,209.39,226.68,111.06,179.12,162.8,134.08,190.18,219.12,164.65,184.21,260.11,207.79,133.67,116.74
123.99,136.81,167.98,194.79,204.54,210.62,226.41,211.87,254.77,8/1/2007,206.31,223.6,109.73,178.13,161.3,133.55,189.58,214.88,162.92,183.46,253.95,205.36,133.85,115.78
123.72,136.19,168.04,193.1,203.07,207.37,225.9,210.09,251.29,9/1/2007,203.03,219.8,108.5,177.56,159.9,133.03,189.15,211.04,161.41,183.24,248.33,204.78,133.66,115.45
123.47,134.72,167.35,190.94,199.64,204.75,225.41,207.62,246.96,10/1/2007,198.0,215.35,106.54,176.63,158.46,132.66,187.85,206.31,160.27,183.14,243.01,203.93,133.48,114.61
122.4,133.0,166.93,187.86,194.65,202.06,222.98,204.11,239.1,11/1/2007,192.4,209.02,104.14,175.15,156.45,131.34,186.43,200.73,159.58,182.53,236.39,203.28,132.9,112.87
121.78,131.58,165.5,185.05,189.99,199.8,219.21,200.75,233.07,12/1/2007,186.86,203.4,102.42,174.36,154.44,130.42,185.72,195.88,159.39,182.61,230.6,201.71,132.99,112.3
120.56,130.91,164.74,182.1,186.63,195.92,215.68,197.52,226.29,1/1/2008,181.18,199.92,100.34,173.17,151.99,129.71,184.45,186.85,157.5,181.07,225.01,200.8,133.23,110.13
120.45,130.4,163.5,178.53,178.89,190.82,211.67,193.14,217.75,2/1/2008,175.13,193.21,98.62,171.72,149.09,128.72,183.57,178.65,155.96,179.69,219.16,199.44,133.5,109.68
121.49,130.39,162.28,175.6,172.67,185.3,207.84,189.57,210.67,3/1/2008,169.77,188.25,97.96,170.13,147.04,127.56,181.78,171.2,155.28,178.11,210.8,198.85,133.3,109.45
121.47,130.19,161.1,172.38,166.73,180.96,203.82,185.88,205.19,4/1/2008,163.92,182.19,96.31,168.36,144.84,125.63,180.79,167.26,154.03,177.01,202.99,197.31,132.81,111.27
121.29,130.11,160.59,169.51,162.61,178.12,199.88,182.55,199.45,5/1/2008,158.53,178.5,94.74,166.72,143.39,124.65,178.43,162.18,152.08,175.64,194.51,195.84,132.88,108.97
120.75,130.19,160.55,167.17,158.53,174.99,196.17,179.98,195.14,6/1/2008,153.21,174.35,93.35,165.04,141.84,123.09,176.62,159.23,149.89,173.87,190.77,194.84,131.92,108.29
120.82,130.23,159.66,164.38,154.02,173.16,192.59,176.75,190.67,7/1/2008,147.98,169.87,92.28,163.58,140.79,121.91,174.2,154.28,147.57,171.74,186.2,192.61,131.15,107.2
120.52,129.58,159.47,162.01,148.17,171.74,190.43,173.95,186.55,8/1/2008,142.96,165.74,90.4,162.01,138.47,121.05,172.53,149.69,145.87,169.25,181.99,191.06,129.95,107.7
120.31,128.71,158.2,159.08,142.76,168.58,186.79,170.73,181.83,9/1/2008,138.23,161.88,87.77,160.32,136.48,120.05,170.29,145.34,144.22,167.29,177.41,189.46,128.88,107.99
119.65,127.65,157.36,156.24,137.55,164.04,182.83,167.74,178.02,10/1/2008,133.37,157.88,84.53,158.33,132.5,118.67,168.48,141.08,142.27,164.55,172.4,187.79,127.51,107.55
118.34,127.29,154.8,153.6,134.62,159.88,179.51,164.99,174.84,11/1/2008,129.14,155.06,82.48,156.14,130.52,116.66,165.5,137.12,139.45,161.61,168.45,185.49,125.86,107.05
116.56,126.45,153.93,150.67,130.61,156.0,176.32,162.2,171.39,12/1/2008,123.4,152.82,80.2,153.63,125.21,113.95,161.03,131.14,136.71,158.6,164.26,183.3,123.5,105.57
114.75,124.42,152.7,147.66,126.62,150.6,174.19,159.29,167.97,1/1/2009,117.93,150.16,77.64,151.56,121.39,111.48,157.13,126.04,132.13,155.94,158.78,181.57,122.57,104.72
115.02,123.35,151.86,145.58,124.04,147.55,171.44,157.07,165.53,2/1/2009,113.58,149.17,75.41,150.3,119.44,109.45,155.84,121.99,129.39,154.12,154.77,179.36,121.26,100.65
114.84,123.37,149.76,143.27,121.27,144.23,170.12,154.77,163.86,3/1/2009,108.76,146.86,73.18,148.78,113.87,108.19,152.35,117.81,127.47,151.16,150.5,176.27,121.06,99.92
115.34,123.74,149.05,141.56,120.19,142.52,169.71,152.88,161.67,4/1/2009,106.13,145.73,72.3,147.98,113.51,107.37,150.55,113.46,126.05,148.9,148.02,173.53,119.62,99.68
116.1,124.02,149.18,140.79,119.91,141.04,170.06,152.08,159.86,5/1/2009,104.26,145.39,71.83,147.77,112.66,106.17,148.57,110.31,125.89,146.99,145.69,172.88,119.49,102.14
117.81,125.29,150.84,141.29,123.39,140.43,171.76,152.74,160.31,6/1/2009,104.63,146.47,69.91,148.1,113.76,105.86,147.87,107.61,124.52,147.35,145.94,172.26,119.06,104.74
118.67,126.27,151.33,142.21,126.1,140.83,173.46,153.85,162.19,7/1/2009,105.77,148.88,69.29,148.38,116.55,107.01,147.11,105.9,125.96,147.64,146.31,172.36,119.25,105.5
118.88,126.97,152.32,143.35,129.19,140.83,175.69,155.17,164.14,8/1/2009,107.02,151.01,69.64,148.27,119.2,107.82,146.94,104.96,126.49,147.84,147.26,172.3,118.63,104.34
118.86,127.22,152.74,143.99,131.4,140.14,177.28,155.99,165.47,9/1/2009,108.09,152.67,70.56,148.01,121.09,108.61,146.59,103.82,128.12,147.49,148.3,172.12,118.39,103.9
119.05,127.52,153.04,144.7,133.93,139.06,178.0,156.77,166.81,10/1/2009,109.35,154.11,71.35,147.84,121.48,109.13,147.51,103.5,127.43,148.05,148.27,172.35,118.55,103.88
120.18,127.93,154.0,145.37,135.99,139.03,178.48,157.47,168.79,11/1/2009,110.86,155.64,71.54,148.13,122.03,109.75,147.87,103.54,127.62,149.48,148.16,171.73,118.94,104.46
120.12,128.01,154.72,146.15,136.95,139.13,179.71,158.39,171.51,12/1/2009,112.1,156.88,72.0,147.95,122.65,109.82,148.5,104.15,127.04,150.16,148.11,171.94,118.95,104.37
119.61,127.86,155.03,146.87,138.43,139.76,179.98,159.43,174.55,1/1/2010,112.62,159.08,72.08,147.42,123.76,109.35,148.0,104.05,126.74,149.59,148.33,172.37,118.83,105.3
118.2,128.03,154.71,146.88,139.5,139.02,180.5,159.76,174.55,2/1/2010,111.72,160.57,71.49,146.01,123.34,108.87,147.56,104.12,126.22,147.02,148.35,172.51,118.27,104.71
118.4,128.46,155.79,147.01,141.36,139.33,180.31,160.04,173.88,3/1/2010,111.33,162.86,70.26,145.96,122.32,107.26,147.16,103.69,125.36,147.15,148.18,172.44,116.37,106.78
119.25,129.09,156.49,147.15,141.87,139.13,182.27,160.12,174.26,4/1/2010,111.66,162.8,70.51,146.4,125.08,107.75,146.39,103.78,124.64,148.45,147.41,172.15,116.92,106.48
119.4,128.32,156.47,147.25,141.5,138.86,183.08,160.29,175.23,5/1/2010,111.58,163.37,70.23,146.39,125.95,107.88,146.19,103.11,124.23,147.92,147.37,172.35,116.05,105.79
118.97,127.4,155.71,147.04,140.61,137.71,183.93,160.19,174.8,6/1/2010,110.71,162.84,70.31,145.62,125.62,107.46,144.91,102.01,124.11,147.49,147.22,172.58,115.74,105.36
118.03,126.13,155.16,146.31,139.75,135.93,183.55,159.64,174.16,7/1/2010,109.3,162.7,69.98,144.82,123.32,106.43,144.34,100.72,123.16,145.69,146.45,172.88,115.08,104.67
116.75,125.53,154.33,145.33,138.98,134.68,182.65,158.67,172.76,8/1/2010,107.49,161.45,69.27,143.77,122.11,105.16,143.13,100.2,121.96,144.24,145.51,171.79,114.46,103.79
115.73,125.19,153.23,144.39,138.58,134.12,182.46,157.89,172.63,9/1/2010,106.1,160.29,68.19,142.89,119.48,103.71,142.68,100.27,120.38,142.01,144.12,171.17,113.99,101.96
115.42,125.27,152.83,143.45,137.02,133.81,182.83,156.94,172.43,10/1/2010,104.87,158.64,67.61,142.44,118.28,102.48,141.54,99.87,118.93,140.32,143.33,169.18,113.6,101.19
115.21,124.7,152.93,143.12,136.78,133.18,183.29,156.78,172.52,11/1/2010,103.98,159.63,67.25,142.12,117.03,101.5,140.98,100.02,118.14,139.17,143.14,168.68,113.81,99.84
115.97,124.99,153.55,142.85,136.72,131.24,184.02,156.47,171.36,12/1/2010,102.94,159.55,67.67,142.06,116.62,101.44,139.84,99.3,117.95,138.58,142.82,168.26,113.58,100.87
116.31,124.98,154.29,142.54,136.53,130.69,184.33,156.14,171.59,1/1/2011,102.39,159.34,67.99,141.63,114.75,102.72,138.38,99.43,117.65,138.18,141.55,167.24,113.01,101.16
116.71,124.77,153.28,142.06,135.15,130.25,184.29,155.61,171.17,2/1/2011,102.28,157.77,68.55,140.89,113.23,104.1,136.93,99.02,117.2,136.97,139.53,166.78,112.34,101.72
115.19,123.49,151.73,141.38,134.39,129.47,182.74,154.87,171.04,3/1/2011,101.79,156.48,67.99,140.17,110.59,104.04,136.27,98.21,116.33,135.98,139.35,165.83,110.45,100.25
114.25,123.72,149.88,140.96,133.86,128.19,181.21,154.5,170.47,4/1/2011,101.58,155.76,67.27,140.05,110.97,103.81,136.36,97.33,114.29,134.85,139.15,167.39,111.09,99.62
113.68,123.85,151.31,140.49,133.38,127.37,180.8,154.03,169.34,5/1/2011,100.73,154.88,67.55,139.89,111.25,102.59,135.72,96.24,114.14,134.41,139.4,166.98,111.48,98.96
113.88,124.18,152.31,140.37,132.63,127.35,180.62,153.79,168.58,6/1/2011,100.27,154.03,69.57,139.69,111.91,101.8,135.4,95.8,114.59,133.25,139.43,166.33,112.07,98.73
114.22,123.44,151.94,140.13,131.73,127.1,181.4,153.49,167.83,7/1/2011,99.58,153.05,71.21,139.47,112.43,100.77,134.69,95.23,114.46,133.22,139.41,167.03,111.65,99.03
114.59,123.59,151.42,139.71,131.44,126.62,181.44,153.04,166.6,8/1/2011,99.27,152.54,71.12,139.09,111.93,98.24,134.28,94.36,114.38,133.18,138.69,166.52,111.29,98.88
114.77,123.53,151.3,139.1,130.46,125.17,182.42,152.46,165.39,9/1/2011,99.33,151.73,71.56,138.49,111.84,93.52,133.29,92.97,113.93,133.84,138.37,166.37,111.48,98.92
114.87,124.16,151.34,138.36,130.79,125.67,180.89,151.65,163.99,10/1/2011,99.66,151.54,70.96,137.84,111.54,90.58,132.86,91.42,113.15,133.6,137.68,164.91,111.15,98.85
